unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Alberta,2,3892,36.0,5.4,3.2,1,980,36.0,2.8,3.5,1,2912,36.0,6.3,3.2,sector_jurisdiction,January 2025,2025-10-21
British Columbia,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_jurisdiction,January 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,January 2025,2025-10-21
All jurisdictions,8,15157,45.3,4.7,3.6,4,5057,44.9,5.5,4.0,4,10100,45.6,4.3,3.4,sector_jurisdiction,February 2025,2025-10-21
Federal jurisdiction,5,12727,46.7,5.0,3.8,4,5057,44.9,5.5,4.0,1,7670,48.0,4.7,3.7,sector_jurisdiction,February 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Quebec,1,566,60.0,2.8,2.6,,,,,,1,566,60.0,2.8,2.6,sector_jurisdiction,February 2025,2025-10-21
Ontario,1,1300,24.0,2.5,2.5,,,,,,1,1300,24.0,2.5,2.5,sector_jurisdiction,February 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Alberta,1,564,48.0,3.0,3.0,,,,,,1,564,48.0,3.0,3.0,sector_jurisdiction,February 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,February 2025,2025-10-21
All jurisdictions,6,22135,47.7,3.1,3.3,1,1404,72.0,0.0,1.8,5,20731,46.0,3.4,3.4,sector_jurisdiction,March 2025,2025-10-21
Federal jurisdiction,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Quebec,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Ontario,1,8240,48.0,3.9,3.7,,,,,,1,8240,48.0,3.9,3.7,sector_jurisdiction,March 2025,2025-10-21
Manitoba,2,8300,48.0,2.9,3.1,,,,,,2,8300,48.0,2.9,3.1,sector_jurisdiction,March 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Alberta,3,5595,46.7,2.2,2.9,1,1404,72.0,0.0,1.8,2,4191,38.3,3.0,3.3,sector_jurisdiction,March 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,March 2025,2025-10-21
All jurisdictions,13,172748,46.9,6.3,4.6,6,116015,47.8,7.7,5.3,7,56733,45.3,3.4,3.1,sector_jurisdiction,April 2025,2025-10-21
Federal jurisdiction,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Nova Scotia,1,1180,24.0,5.6,3.8,,,,,,1,1180,24.0,5.6,3.8,sector_jurisdiction,April 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Quebec,5,111801,48.7,7.7,5.3,4,106088,48.1,8.0,5.5,1,5713,60.0,2.8,2.5,sector_jurisdiction,April 2025,2025-10-21
Ontario,3,5111,32.2,6.7,7.0,1,1606,24.0,10.8,10.2,2,3505,36.0,4.8,5.5,sector_jurisdiction,April 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Saskatchewan,1,12800,36.0,4.0,3.0,,,,,,1,12800,36.0,4.0,3.0,sector_jurisdiction,April 2025,2025-10-21
Alberta,3,41856,48.0,3.0,2.9,1,8321,47.9,3.0,2.5,2,33535,48.0,3.0,3.0,sector_jurisdiction,April 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,April 2025,2025-10-21
All jurisdictions,9,25184,45.1,3.1,3.0,4,11083,46.3,2.9,2.8,5,14101,44.2,3.2,3.1,sector_jurisdiction,May 2025,2025-10-21
Federal jurisdiction,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Quebec,2,1847,60.0,5.5,4.2,,,,,,2,1847,60.0,5.5,4.2,sector_jurisdiction,May 2025,2025-10-21
Ontario,1,910,36.0,2.5,2.5,,,,,,1,910,36.0,2.5,2.5,sector_jurisdiction,May 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Alberta,5,20877,44.9,2.8,2.8,3,9533,47.9,2.7,2.5,2,11344,42.3,2.9,3.0,sector_jurisdiction,May 2025,2025-10-21
British Columbia,1,1550,36.0,4.2,4.6,1,1550,36.0,4.2,4.6,,,,,,sector_jurisdiction,May 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,May 2025,2025-10-21
All jurisdictions,4,4657,53.6,3.6,3.4,2,1523,47.1,4.7,3.5,2,3134,56.8,3.0,3.4,sector_jurisdiction,June 2025,2025-10-21
Federal jurisdiction,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,sector_jurisdiction,June 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Quebec,1,2300,60.0,3.0,3.5,,,,,,1,2300,60.0,3.0,3.5,sector_jurisdiction,June 2025,2025-10-21
Ontario,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Alberta,2,1624,47.2,3.7,2.8,1,790,46.3,4.4,2.5,1,834,48.0,3.0,3.0,sector_jurisdiction,June 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,June 2025,2025-10-21
All jurisdictions,4,45658,48.4,7.4,2.1,2,42230,48.7,7.8,2.0,2,3428,44.6,3.2,3.2,sector_jurisdiction,July 2025,2025-10-21
Federal jurisdiction,2,3336,54.0,4.0,3.4,1,2500,60.0,4.0,3.4,1,836,36.0,4.0,3.5,sector_jurisdiction,July 2025,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Quebec,1,39730,48.0,8.0,1.9,1,39730,48.0,8.0,1.9,,,,,,sector_jurisdiction,July 2025,2025-10-21
Ontario,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Manitoba,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Alberta,1,2592,47.4,3.0,3.0,,,,,,1,2592,47.4,3.0,3.0,sector_jurisdiction,July 2025,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,July 2025,2025-10-21
All jurisdictions,46,207945,47.3,2.1,1.9,17,54160,51.9,4.7,3.4,29,153785,45.6,1.1,1.4,sector_jurisdiction,Q32022,2025-10-21
Federal jurisdiction,13,30144,49.2,3.5,3.0,8,24579,51.0,3.6,3.1,5,5565,41.0,3.3,2.7,sector_jurisdiction,Q32022,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,Q32022,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q32022,2025-10-21
Nova Scotia,1,3500,36.0,1.5,2.2,,,,,,1,3500,36.0,1.5,2.2,sector_jurisdiction,Q32022,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q32022,2025-10-21
Quebec,5,45230,46.4,2.1,2.2,2,16630,60.0,2.4,2.3,3,28600,38.5,1.9,2.1,sector_jurisdiction,Q32022,2025-10-21
Ontario,8,29313,39.8,3.0,1.9,4,6940,47.8,8.9,4.8,4,22373,37.3,1.2,1.1,sector_jurisdiction,Q32022,2025-10-21
Manitoba,5,29680,59.4,1.8,1.4,,,,,,5,29680,59.4,1.8,1.4,sector_jurisdiction,Q32022,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,Q32022,2025-10-21
Alberta,11,65589,45.8,1.0,1.3,1,3000,31.9,18.3,8.2,10,62589,46.5,0.2,0.9,sector_jurisdiction,Q32022,2025-10-21
British Columbia,2,2489,45.7,3.3,3.6,1,1011,60.0,2.0,2.0,1,1478,36.0,4.2,4.6,sector_jurisdiction,Q32022,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q32022,2025-10-21
Multi-provinces,1,2000,36.0,5.3,4.3,1,2000,36.0,5.3,4.3,,,,,,sector_jurisdiction,Q32022,2025-10-21
All jurisdictions,44,246342,39.3,3.9,3.6,9,15408,46.9,4.6,3.7,35,230934,38.8,3.8,3.6,sector_jurisdiction,Q42022,2025-10-21
Federal jurisdiction,6,9188,48.8,3.3,2.7,5,4688,49.5,3.0,2.7,1,4500,48.0,3.5,2.8,sector_jurisdiction,Q42022,2025-10-21
Newfoundland and Labrador,2,2200,48.0,4.1,1.8,,,,,,2,2200,48.0,4.1,1.8,sector_jurisdiction,Q42022,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q42022,2025-10-21
Nova Scotia,2,2104,43.9,1.3,4.6,,,,,,2,2104,43.9,1.3,4.6,sector_jurisdiction,Q42022,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q42022,2025-10-21
Quebec,6,12469,59.9,2.9,2.5,2,2560,43.9,6.5,4.2,4,9909,64.1,2.0,2.1,sector_jurisdiction,Q42022,2025-10-21
Ontario,11,133244,37.4,4.3,3.9,1,7370,48.0,4.1,3.9,10,125874,36.8,4.3,3.9,sector_jurisdiction,Q42022,2025-10-21
Manitoba,1,4600,48.0,1.7,2.6,,,,,,1,4600,48.0,1.7,2.6,sector_jurisdiction,Q42022,2025-10-21
Saskatchewan,1,2000,48.0,0.0,0.7,,,,,,1,2000,48.0,0.0,0.7,sector_jurisdiction,Q42022,2025-10-21
Alberta,12,17755,41.3,1.5,1.4,1,790,30.1,12.5,6.7,11,16965,41.8,0.9,1.2,sector_jurisdiction,Q42022,2025-10-21
British Columbia,3,62782,36.0,4.2,3.9,,,,,,3,62782,36.0,4.2,3.9,sector_jurisdiction,Q42022,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q42022,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,Q42022,2025-10-21
All jurisdictions,30,61655,42.6,3.8,3.4,10,26380,37.8,4.8,4.0,20,35275,46.2,3.0,3.0,sector_jurisdiction,Q12023,2025-10-21
Federal jurisdiction,5,11340,55.9,1.3,2.6,4,9390,55.0,1.0,2.5,1,1950,60.0,2.8,2.9,sector_jurisdiction,Q12023,2025-10-21
Newfoundland and Labrador,1,1330,60.0,0.0,2.4,,,,,,1,1330,60.0,0.0,2.4,sector_jurisdiction,Q12023,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q12023,2025-10-21
Nova Scotia,1,1000,36.0,1.5,2.2,,,,,,1,1000,36.0,1.5,2.2,sector_jurisdiction,Q12023,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q12023,2025-10-21
Quebec,2,2201,56.1,7.7,3.9,,,,,,2,2201,56.1,7.7,3.9,sector_jurisdiction,Q12023,2025-10-21
Ontario,6,8041,48.5,2.4,2.4,2,1246,36.0,4.7,4.1,4,6795,50.8,2.0,2.1,sector_jurisdiction,Q12023,2025-10-21
Manitoba,1,2600,83.7,0.0,0.9,,,,,,1,2600,83.7,0.0,0.9,sector_jurisdiction,Q12023,2025-10-21
Saskatchewan,1,750,48.0,3.5,2.9,1,750,48.0,3.5,2.9,,,,,,sector_jurisdiction,Q12023,2025-10-21
Alberta,6,19688,29.6,5.7,4.2,3,14994,26.7,7.3,5.0,3,4694,38.8,0.8,1.6,sector_jurisdiction,Q12023,2025-10-21
British Columbia,7,14705,36.0,4.5,4.3,,,,,,7,14705,36.0,4.5,4.3,sector_jurisdiction,Q12023,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q12023,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,Q12023,2025-10-21
All jurisdictions,51,308518,42.4,2.6,3.0,18,34841,30.4,6.8,4.9,33,273677,43.9,2.0,2.8,sector_jurisdiction,Q22023,2025-10-21
Federal jurisdiction,15,189076,46.2,2.5,3.2,9,18021,29.8,7.4,4.5,6,171055,48.0,2.0,3.0,sector_jurisdiction,Q22023,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,Q22023,2025-10-21
Prince Edward Island,1,2600,36.0,3.0,3.4,,,,,,1,2600,36.0,3.0,3.4,sector_jurisdiction,Q22023,2025-10-21
Nova Scotia,1,1180,44.0,1.5,1.8,,,,,,1,1180,44.0,1.5,1.8,sector_jurisdiction,Q22023,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q22023,2025-10-21
Quebec,3,9371,46.4,2.5,2.0,1,1554,69.8,4.2,2.0,2,7817,41.8,2.2,1.9,sector_jurisdiction,Q22023,2025-10-21
Ontario,10,74425,35.5,2.2,2.5,2,1764,42.8,4.1,3.1,8,72661,35.4,2.1,2.5,sector_jurisdiction,Q22023,2025-10-21
Manitoba,1,1300,36.3,3.0,3.5,1,1300,36.3,3.0,3.5,,,,,,sector_jurisdiction,Q22023,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,Q22023,2025-10-21
Alberta,16,21092,36.0,4.1,3.9,4,9202,24.0,8.4,7.3,12,11890,45.2,0.7,1.2,sector_jurisdiction,Q22023,2025-10-21
British Columbia,2,2400,36.0,3.1,4.2,,,,,,2,2400,36.0,3.1,4.2,sector_jurisdiction,Q22023,2025-10-21
All territories,1,4074,36.0,4.5,3.5,,,,,,1,4074,36.0,4.5,3.5,sector_jurisdiction,Q22023,2025-10-21
Multi-provinces,1,3000,24.0,3.2,3.1,1,3000,24.0,3.2,3.1,,,,,,sector_jurisdiction,Q22023,2025-10-21
All jurisdictions,46,169307,37.5,5.4,4.3,14,24965,43.1,6.5,4.5,32,144342,36.5,5.2,4.2,sector_jurisdiction,Q32023,2025-10-21
Federal jurisdiction,12,36336,46.5,3.0,3.7,8,15341,45.7,4.8,4.6,4,20995,47.0,1.7,3.0,sector_jurisdiction,Q32023,2025-10-21
Newfoundland and Labrador,2,6550,48.0,2.0,3.8,,,,,,2,6550,48.0,2.0,3.8,sector_jurisdiction,Q32023,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q32023,2025-10-21
Nova Scotia,1,1000,36.0,3.0,2.7,,,,,,1,1000,36.0,3.0,2.7,sector_jurisdiction,Q32023,2025-10-21
New Brunswick,1,8000,60.0,2.0,3.0,,,,,,1,8000,60.0,2.0,3.0,sector_jurisdiction,Q32023,2025-10-21
Quebec,3,2965,47.9,4.7,4.3,1,515,60.0,6.5,3.9,2,2450,45.3,4.3,4.4,sector_jurisdiction,Q32023,2025-10-21
Ontario,11,88992,27.7,7.6,5.1,2,6975,36.1,9.2,5.0,9,82017,26.9,7.4,5.1,sector_jurisdiction,Q32023,2025-10-21
Manitoba,3,9800,62.2,1.7,2.3,,,,,,3,9800,62.2,1.7,2.3,sector_jurisdiction,Q32023,2025-10-21
Saskatchewan,1,1400,48.0,0.0,1.9,,,,,,1,1400,48.0,0.0,1.9,sector_jurisdiction,Q32023,2025-10-21
Alberta,7,8564,40.1,4.6,2.3,3,2134,43.4,9.5,2.3,4,6430,39.0,3.0,2.3,sector_jurisdiction,Q32023,2025-10-21
British Columbia,5,5700,36.2,4.7,4.2,,,,,,5,5700,36.2,4.7,4.2,sector_jurisdiction,Q32023,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q32023,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,Q32023,2025-10-21
All jurisdictions,32,180530,48.9,4.0,3.0,10,35496,54.2,7.4,3.7,22,145034,47.6,3.1,2.9,sector_jurisdiction,Q42023,2025-10-21
Federal jurisdiction,4,26541,50.5,3.8,3.3,1,681,60.0,5.0,4.0,3,25860,50.2,3.8,3.2,sector_jurisdiction,Q42023,2025-10-21
Newfoundland and Labrador,1,6500,48.0,2.0,2.5,,,,,,1,6500,48.0,2.0,2.5,sector_jurisdiction,Q42023,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q42023,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,Q42023,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q42023,2025-10-21
Quebec,2,2225,66.6,10.0,3.4,,,,,,2,2225,66.6,10.0,3.4,sector_jurisdiction,Q42023,2025-10-21
Ontario,13,120978,45.9,4.4,3.3,6,23779,44.4,9.4,4.7,7,97199,46.3,3.1,3.0,sector_jurisdiction,Q42023,2025-10-21
Manitoba,3,11096,74.7,3.0,1.9,2,9696,78.6,3.4,1.8,1,1400,48.1,0.0,3.0,sector_jurisdiction,Q42023,2025-10-21
Saskatchewan,1,1040,36.0,5.1,3.5,,,,,,1,1040,36.0,5.1,3.5,sector_jurisdiction,Q42023,2025-10-21
Alberta,7,11450,50.9,0.5,1.2,1,1340,48.0,0.0,0.8,6,10110,51.3,0.6,1.2,sector_jurisdiction,Q42023,2025-10-21
British Columbia,1,700,36.0,5.0,4.3,,,,,,1,700,36.0,5.0,4.3,sector_jurisdiction,Q42023,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q42023,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,Q42023,2025-10-21
All jurisdictions,33,188927,45.9,3.0,2.6,8,21291,42.5,2.6,2.4,25,167636,46.3,3.1,2.6,sector_jurisdiction,Q12024,2025-10-21
Federal jurisdiction,6,14181,44.7,4.6,2.7,3,3500,50.4,4.9,3.3,3,10681,42.8,4.5,2.6,sector_jurisdiction,Q12024,2025-10-21
Newfoundland and Labrador,1,750,48.0,2.0,2.0,,,,,,1,750,48.0,2.0,2.0,sector_jurisdiction,Q12024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q12024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,Q12024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q12024,2025-10-21
Quebec,1,2017,36.0,4.8,3.7,,,,,,1,2017,36.0,4.8,3.7,sector_jurisdiction,Q12024,2025-10-21
Ontario,10,109113,45.7,3.8,3.0,2,3522,28.5,4.8,3.6,8,105591,46.2,3.7,3.0,sector_jurisdiction,Q12024,2025-10-21
Manitoba,2,22500,47.8,2.5,2.8,,,,,,2,22500,47.8,2.5,2.8,sector_jurisdiction,Q12024,2025-10-21
Saskatchewan,1,520,36.0,3.0,2.7,,,,,,1,520,36.0,3.0,2.7,sector_jurisdiction,Q12024,2025-10-21
Alberta,11,39342,46.6,0.6,1.2,3,14269,44.0,1.5,1.8,8,25073,48.0,0.0,0.9,sector_jurisdiction,Q12024,2025-10-21
British Columbia,1,504,36.0,3.2,4.0,,,,,,1,504,36.0,3.2,4.0,sector_jurisdiction,Q12024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q12024,2025-10-21
Multi-provinces,,,,,,,,,,,,,,,,sector_jurisdiction,Q12024,2025-10-21
All jurisdictions,56,653329,53.5,5.3,3.5,9,17020,28.5,4.9,4.2,47,636309,54.2,5.3,3.5,sector_jurisdiction,Q22024,2025-10-21
Federal jurisdiction,6,32460,23.5,4.1,4.1,5,13460,22.7,4.2,4.2,1,19000,24.0,4.0,4.0,sector_jurisdiction,Q22024,2025-10-21
Newfoundland and Labrador,1,500,36.0,5.1,3.6,1,500,36.0,5.1,3.6,,,,,,sector_jurisdiction,Q22024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q22024,2025-10-21
Nova Scotia,2,9842,38.3,2.5,2.6,,,,,,2,9842,38.3,2.5,2.6,sector_jurisdiction,Q22024,2025-10-21
New Brunswick,1,730,44.0,2.0,1.7,,,,,,1,730,44.0,2.0,1.7,sector_jurisdiction,Q22024,2025-10-21
Quebec,27,488367,60.0,6.0,3.6,1,1300,60.0,8.0,4.6,26,487067,60.0,6.0,3.6,sector_jurisdiction,Q22024,2025-10-21
Ontario,11,92820,33.9,3.5,3.2,1,740,48.0,10.8,4.1,10,92080,33.8,3.5,3.2,sector_jurisdiction,Q22024,2025-10-21
Manitoba,2,16000,48.0,2.5,2.8,,,,,,2,16000,48.0,2.5,2.8,sector_jurisdiction,Q22024,2025-10-21
Saskatchewan,1,1690,36.0,3.0,2.7,,,,,,1,1690,36.0,3.0,2.7,sector_jurisdiction,Q22024,2025-10-21
Alberta,4,9900,42.9,1.3,2.2,,,,,,4,9900,42.9,1.3,2.2,sector_jurisdiction,Q22024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,Q22024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q22024,2025-10-21
Multi-provinces,1,1020,48.0,5.0,3.1,1,1020,48.0,5.0,3.1,,,,,,sector_jurisdiction,Q22024,2025-10-21
All jurisdictions,27,95429,42.8,4.1,3.3,8,13506,33.5,7.7,4.5,19,81923,44.3,3.5,3.1,sector_jurisdiction,Q32024,2025-10-21
Federal jurisdiction,4,10857,47.9,5.6,3.8,2,1205,54.0,12.7,4.8,2,9652,47.2,4.7,3.7,sector_jurisdiction,Q32024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
Nova Scotia,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
Quebec,2,7700,68.9,5.5,3.8,,,,,,2,7700,68.9,5.5,3.8,sector_jurisdiction,Q32024,2025-10-21
Ontario,14,43363,36.4,4.4,3.5,4,9311,30.0,7.3,5.1,10,34052,38.1,3.6,3.1,sector_jurisdiction,Q32024,2025-10-21
Manitoba,2,19400,48.0,2.5,3.0,,,,,,2,19400,48.0,2.5,3.0,sector_jurisdiction,Q32024,2025-10-21
Saskatchewan,2,10530,37.3,2.9,2.6,,,,,,2,10530,37.3,2.9,2.6,sector_jurisdiction,Q32024,2025-10-21
Alberta,2,1339,36.0,2.8,2.5,1,750,36.0,5.0,3.7,1,589,36.0,0.0,0.9,sector_jurisdiction,Q32024,2025-10-21
British Columbia,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
All territories,,,,,,,,,,,,,,,,sector_jurisdiction,Q32024,2025-10-21
Multi-provinces,1,2240,36.0,7.7,2.5,1,2240,36.0,7.7,2.5,,,,,,sector_jurisdiction,Q32024,2025-10-21
All jurisdictions,29,177872,50.3,4.8,3.7,9,21097,53.3,3.0,3.5,20,156775,49.9,5.0,3.7,sector_jurisdiction,Q42024,2025-10-21
Federal jurisdiction,7,11704,46.8,4.7,3.2,3,3194,43.5,4.4,3.2,4,8510,48.0,4.8,3.2,sector_jurisdiction,Q42024,2025-10-21
Newfoundland and Labrador,,,,,,,,,,,,,,,,sector_jurisdiction,Q42024,2025-10-21
Prince Edward Island,,,,,,,,,,,,,,,,sector_jurisdiction,Q42024,2025-10-21
Nova Scotia,2,16870,24.0,5.1,4.1,,,,,,2,16870,24.0,5.1,4.1,sector_jurisdiction,Q42024,2025-10-21
New Brunswick,,,,,,,,,,,,,,,,sector_jurisdiction,Q42024,2025-10-21
Quebec,4,89929,60.6,5.6,3.6,3,8256,66.7,2.0,4.0,1,81673,60.0,6.0,3.6,sector_jurisdiction,Q42024,2025-10-21
Ontario,6,18287,35.9,3.9,3.5,,,,,,6,18287,35.9,3.9,3.5,sector_jurisdiction,Q42024,2025-10-21
Manitoba,2,25696,48.0,2.8,4.2,1,6696,48.0,3.5,3.1,1,19000,48.0,2.5,4.6,sector_jurisdiction,Q42024,2025-10-21
Saskatchewan,,,,,,,,,,,,,,,,sector_jurisdiction,Q42024,2025-10-21
